frequency,name,type
67,Bill,first_name
56,Joe,first_name
48,George,first_name
39,John,first_name
39,Frank,first_name
31,Charlie,first_name
29,Harry,first_name
28,Jim,first_name
27,Red,first_name
27,Jack,first_name
26,Bob,first_name
25,Ed,first_name
25,Ray,first_name
24,Johnny,first_name
22,Roy,first_name
21,Tom,first_name
21,Al,first_name
21,Fred,first_name
15,Sam,first_name
14,Mike,first_name
14,Walt,first_name
13,Eddie,first_name
13,Pete,first_name
13,Hal,first_name
12,Lefty,first_name
12,Pat,first_name
12,Ernie,first_name
12,Earl,first_name
12,Chick,first_name
11,Luis,first_name
11,Juan,first_name
11,Ralph,first_name
11,Dick,first_name
11,Dutch,first_name
11,Paul,first_name
11,Art,first_name
9,Rube,first_name
9,Wally,first_name
9,Elmer,first_name
9,Billy,first_name
8,Larry,first_name
8,Dave,first_name
8,Heinie,first_name
8,Doc,first_name
8,Gene,first_name
8,Ted,first_name
8,Walter,first_name
8,Clarence,first_name
8,Herb,first_name
7,Leo,first_name
7,Jake,first_name
7,Ben,first_name
7,Jimmy,first_name
7,Tony,first_name
7,Jesse,first_name
7,Cy,first_name
6,Lee,first_name
6,Claude,first_name
6,Bert,first_name
6,Tim,first_name
6,Marty,first_name
6,Ike,first_name
6,Lou,first_name
6,Hank,first_name
6,Bud,first_name
6,Bernie,first_name
5,Dixie,first_name
5,Phil,first_name
5,Milt,first_name
5,Carl,first_name
5,Dan,first_name
5,Buck,first_name
5,Karl,first_name
5,Oscar,first_name
5,Ollie,first_name
5,Chuck,first_name
5,Guy,first_name
4,Henry,first_name
4,Harvey,first_name
4,Slim,first_name
4,Tommy,first_name
4,Fritz,first_name
4,Howie,first_name
4,Ken,first_name
4,Doug,first_name
4,Clyde,first_name
4,William,first_name
4,Luke,first_name
4,Alex,first_name
4,Spencer,first_name
4,Duke,first_name
4,Allen,first_name
4,Gus,first_name
4,Cliff,first_name
4,Babe,first_name
4,Rip,first_name
3,Willie,first_name
3,Max,first_name
3,Vern,first_name
3,Happy,first_name
3,Ty,first_name
3,Mickey,first_name
3,Otis,first_name
3,Ossie,first_name
3,Gil,first_name
3,Tex,first_name
3,Vic,first_name
3,Paddy,first_name
3,Homer,first_name
3,Del,first_name
3,Howard,first_name
3,Don,first_name
3,Rudy,first_name
3,Norm,first_name
3,Lew,first_name
3,Hack,first_name
3,Les,first_name
3,Russ,first_name
3,Danny,first_name
3,Hod,first_name
3,Horace,first_name
3,Otto,first_name
3,Buzz,first_name
3,Jimmie,first_name
2,Lloyd,first_name
2,Jess,first_name
2,Leon,first_name
2,Benny,first_name
2,Earle,first_name
2,Stuffy,first_name
2,Tod,first_name
2,Tink,first_name
2,Dee,first_name
2,Jose,first_name
2,Everett,first_name
2,Bruno,first_name
2,Chet,first_name
2,Steve,first_name
2,Roger,first_name
2,Ferdie,first_name
2,Austin,first_name
2,Zip,first_name
2,Wilbur,first_name
2,Tiny,first_name
2,Bruce,first_name
2,Emil,first_name
2,Nemo,first_name
2,Roxy,first_name
2,Mutt,first_name
2,Ira,first_name
2,Whitey,first_name
2,Speed,first_name
2,Norman,first_name
2,Stan,first_name
2,Sid,first_name
2,Bobby,first_name
2,Hooks,first_name
2,Hugh,first_name
2,Sammy,first_name
2,Pinky,first_name
2,Curt,first_name
2,Andy,first_name
2,Dud,first_name
2,Garland,first_name
2,Jocko,first_name
2,Syl,first_name
2,Chief,first_name
2,Skinny,first_name
2,Augie,first_name
1,Milo,first_name
1,Angel,first_name
1,Grover,first_name
1,Rivington,first_name
1,Lute,first_name
1,Goat,first_name
1,Rollin,first_name
1,Walton,first_name
1,Press,first_name
1,Rowdy,first_name
1,Baby,first_name
1,Dolf,first_name
1,Len,first_name
1,Rolla,first_name
1,Erskine,first_name
1,Urban,first_name
1,Chubby,first_name
1,Casey,first_name
1,Tuffy,first_name
1,Possum,first_name
1,Denney,first_name
1,Ivey,first_name
1,Mellie,first_name
1,Tracy,first_name
1,Hardin,first_name
1,Esty,first_name
1,Verne,first_name
1,Stump,first_name
1,Justin,first_name
1,Tinsley,first_name
1,Marv,first_name
1,Pep,first_name
1,Arthur,first_name
1,Bunny,first_name
1,Herbert,first_name
1,Byron,first_name
1,Katie,first_name
1,Orie,first_name
1,King,first_name
1,Rabbit,first_name
1,Jeff,first_name
1,Polly,first_name
1,Greasy,first_name
1,Pepper,first_name
1,Pol,first_name
1,Scott,first_name
1,Monte,first_name
1,Arch,first_name
1,Erwin,first_name
1,Eppa,first_name
1,Sherry,first_name
1,Zeb,first_name
1,Ricardo,first_name
1,Dazzy,first_name
1,Weldon,first_name
1,Bugs,first_name
1,Josh,first_name
1,Coonie,first_name
1,Bundy,first_name
1,Delos,first_name
1,Chris,first_name
1,Bullet,first_name
1,Snipe,first_name
1,Cap,first_name
1,Manuel,first_name
1,Adam,first_name
1,Flame,first_name
1,Pedro,first_name
1,Michael,first_name
1,Rich,first_name
1,Eric,first_name
1,Ferd,first_name
1,Rags,first_name
1,Chippy,first_name
1,Patsy,first_name
1,Eusebio,first_name
1,Bubbles,first_name
1,Roland,first_name
1,Deacon,first_name
1,Sad,first_name
1,Erv,first_name
1,Merlin,first_name
1,Rupert,first_name
1,Scrappy,first_name
1,Rollie,first_name
1,Goldie,first_name
1,Braggo,first_name
1,Morrie,first_name
1,Pi,first_name
1,Ginger,first_name
1,Pop-Boy,first_name
1,Arnie,first_name
1,Dean,first_name
1,Allan,first_name
1,Steamboat,first_name
1,Yam,first_name
1,Archie,first_name
1,Turner,first_name
1,Desmond,first_name
1,Lyle,first_name
1,Abe,first_name
1,Murphy,first_name
1,Shorty,first_name
1,Pickles,first_name
1,Carter,first_name
1,Dana,first_name
1,Burleigh,first_name
1,Ziggy,first_name
1,Hob,first_name
1,Shovel,first_name
1,Benn,first_name
1,Dickie,first_name
1,Fletcher,first_name
1,Irish,first_name
1,Dominic,first_name
1,Dizzy,first_name
1,Edd,first_name
1,Shag,first_name
1,Mack,first_name
1,Marsh,first_name
1,Rinaldo,first_name
1,Sparky,first_name
1,Pelham,first_name
1,Myrl,first_name
1,Howdy,first_name
1,Toots,first_name
1,Harley,first_name
1,Moxie,first_name
1,Gary,first_name
1,Butch,first_name
1,Merwin,first_name
1,Jing,first_name
1,Razor,first_name
1,Duster,first_name
1,Wickey,first_name
1,Hervey,first_name
1,Bing,first_name
1,Dink,first_name
1,Ole,first_name
1,Squiz,first_name
1,Swede,first_name
1,Suds,first_name
1,Cotton,first_name
1,Twink,first_name
1,Sweetbreads,first_name
1,Carson,first_name
1,Dallas,first_name
1,Molly,first_name
1,Artie,first_name
1,Thomas,first_name
1,Snake,first_name
1,Carmen,first_name
1,Bonnie,first_name
1,Shags,first_name
1,High,first_name
1,Lyman,first_name
1,Axel,first_name
1,Clem,first_name
1,Jakie,first_name
1,Emilio,first_name
1,Slicker,first_name
1,Herman,first_name
1,Hans,first_name
1,Colonel,first_name
1,Ad,first_name
1,Kid,first_name
1,Rasty,first_name
1,Merito,first_name
1,Herschel,first_name
1,Cecil,first_name
1,Cedric,first_name
1,Ivy,first_name
1,Pug,first_name
1,Turkey,first_name
1,Newt,first_name
1,Bucky,first_name
1,Chicken,first_name
1,Johnnie,first_name
1,Rogers,first_name
1,Will,first_name
1,Bevo,first_name
1,Wade,first_name
1,Wid,first_name
1,Joel,first_name
1,Kewpie,first_name
1,Val,first_name
1,Harland,first_name
1,Muddy,first_name
1,Socks,first_name
1,Arlas,first_name
1,Elam,first_name
1,Aaron,first_name
1,Mule,first_name
1,Denny,first_name
1,Grady,first_name
1,Maurice,first_name
1,Win,first_name
1,Virgil,first_name
1,Hi,first_name
1,Huck,first_name
1,Elliot,first_name
1,Lu,first_name
1,Neal,first_name
1,Mandy,first_name
1,Davey,first_name
1,Sumpter,first_name
1,Astyanax,first_name
1,Snooks,first_name
1,Skipper,first_name
1,Frankie,first_name
1,Dinty,first_name
1,Bubber,first_name
1,Freddy,first_name
1,Adrian,first_name
1,Vance,first_name
1,Wilcy,first_name
1,Glenn,first_name
1,Lance,first_name
1,Topper,first_name
1,Epp,first_name
1,Camp,first_name
1,By,first_name
1,Jigger,first_name
1,Monty,first_name
1,Jackie,first_name
1,Myles,first_name
1,Kettle,first_name
1,Ross,first_name
1,Clint,first_name
1,Emmett,first_name
1,Dennis,first_name
1,Uke,first_name
1,Hap,first_name
1,Sarge,first_name
1,Kiki,first_name
1,Spoke,first_name
1,Hinkey,first_name
1,Broadway,first_name
1,Firpo,first_name
1,Dewey,first_name
1,Rosy,first_name
1,Webb,first_name
1,Riggs,first_name
1,Chink,first_name
1,Zack,first_name
1,Pie,first_name
1,Lucas,first_name
1,Sheriff,first_name
1,Cuckoo,first_name
1,Alvin,first_name
1,Pea,first_name
1,Logan,first_name
1,Verdo,first_name
1,Reuben,first_name
1,Bibb,first_name
1,Showboat,first_name
1,Haddie,first_name
1,June,first_name
1,Nelson,first_name
1,Lafayette,first_name
1,Trader,first_name
1,Waite,first_name
1,Binky,first_name
1,Percy,first_name
1,Cactus,first_name
1,Ren,first_name
1,Bub,first_name
1,Waddy,first_name
1,Freddie,first_name
1,Buckshot,first_name
1,Ski,first_name
1,Lenny,first_name
1,Urbane,first_name
1,Lerton,first_name
1,Nellie,first_name
1,Tripp,first_name
1,Gale,first_name
1,Lil,first_name
1,Lena,first_name
1,Sloppy,first_name
1,Specs,first_name
1,Allie,first_name
1,Hoge,first_name
1,Eppie,first_name
1,Honey,first_name
1,Footsie,first_name
1,Louis,first_name
1,Rufe,first_name
1,Hughie,first_name
1,Nick,first_name
1,Lum,first_name
1,Jumbo,first_name
1,Boob,first_name
1,Dot,first_name
1,Claral,first_name
1,Goose,first_name
1,Gabby,first_name
1,Teddy,first_name
1,Wes,first_name
1,Hunter,first_name
1,Carlton,first_name
1,Jule,first_name
1,Herm,first_name
1,Rusty,first_name
1,Hub,first_name
1,Merv,first_name
1,Vince,first_name
1,Mel,first_name
1,Moe,first_name
1,Clay,first_name
