frequency,name,type
50,Lefty,nickname
48,Bill,nickname
42,Red,nickname
41,Joe,nickname
26,Jack,nickname
21,Jim,nickname
20,Ed,nickname
20,Bob,nickname
20,Al,nickname
20,Charlie,nickname
18,Johnny,nickname
17,Pete,nickname
15,Ray,nickname
15,Dutch,nickname
14,Tom,nickname
14,Pat,nickname
14,Doc,nickname
13,Sam,nickname
13,Hal,nickname
12,Mike,nickname
12,Walt,nickname
12,Chick,nickname
11,Soto Pacheco,nickname
11,Dick,nickname
11,Fred,nickname
11,Cy,nickname
11,Art,nickname
9,Eddie,nickname
9,Rube,nickname
9,Wally,nickname
9,Jake,nickname
9,Ted,nickname
9,Billy,nickname
8,Larry,nickname
8,Ernie,nickname
8,Bert,nickname
8,Frank,nickname
7,Dixie,nickname
7,Heinie,nickname
7,Gene,nickname
7,Buck,nickname
7,Tony,nickname
7,Herb,nickname
7,Ike,nickname
7,Bud,nickname
7,Harry,nickname
6,Slim,nickname
6,Tim,nickname
6,Duke,nickname
6,Lou,nickname
6,Hank,nickname
5,Dave,nickname
5,Happy,nickname
5,Fritz,nickname
5,Ben,nickname
5,Jimmy,nickname
5,Sheriff,nickname
5,Whitey,nickname
5,Bernie,nickname
5,Buzz,nickname
5,Babe,nickname
4,Danny,nickname
4,Ken,nickname
4,Pep,nickname
4,Rabbit,nickname
4,Tex,nickname
4,Ollie,nickname
4,Lew,nickname
4,Hack,nickname
4,Cliff,nickname
4,Phil,nickname
4,Gus,nickname
4,Rip,nickname
4,Chief,nickname
3,Bugs,nickname
3,Mickey,nickname
3,Milt,nickname
3,Rebel,nickname
3,Doug,nickname
3,Gil,nickname
3,Don,nickname
3,Moose,nickname
3,Speed,nickname
3,Bunny,nickname
3,King,nickname
3,Bucky,nickname
3,Blackie,nickname
3,Paddy,nickname
3,Tiny,nickname
3,Kid,nickname
3,Del,nickname
3,Cap,nickname
3,Rudy,nickname
3,Tommy,nickname
3,Big Bill,nickname
3,Alex,nickname
3,Les,nickname
3,Nig,nickname
3,Chuck,nickname
3,Butch,nickname
3,Swede,nickname
3,Skinny,nickname
2,Willie,nickname
2,Jess,nickname
2,Scoops,nickname
2,Irish,nickname
2,Vern,nickname
2,Dutchman,nickname
2,Matty,nickname
2,Stuffy,nickname
2,Judge,nickname
2,Sarge,nickname
2,Huck,nickname
2,General,nickname
2,Ty,nickname
2,Dee,nickname
2,Mule,nickname
2,Slats,nickname
2,Dinty,nickname
2,High Pockets,nickname
2,Marty,nickname
2,Smokey,nickname
2,Mac,nickname
2,Steve,nickname
2,Ferdie,nickname
2,Dazzy,nickname
2,Zip,nickname
2,Hap,nickname
2,Deacon,nickname
2,Peanuts,nickname
2,Buster,nickname
2,Norm,nickname
2,Shotgun,nickname
2,Abe,nickname
2,Bummer,nickname
2,Pop,nickname
2,Cuckoo,nickname
2,Baldy,nickname
2,Dizzy,nickname
2,Ducky,nickname
2,Jesse,nickname
2,Russ,nickname
2,Sid,nickname
2,Nick,nickname
2,Jiggs,nickname
