name,frequency,type
Soto Pacheco,1,nickname
Pug,1,nickname
Buzz or The Babe Ruth of the Minor Leagues,1,nickname
Sam,3,nickname
Bob or Jumbo,1,nickname
Beverly,1,nickname
Bob,3,nickname
Camera Eye,1,nickname
Del,2,nickname
Jigger,1,nickname
Sheriff,1,nickname
Cuckoo or Seacap,1,nickname
The Kentucky Colonel,1,nickname
Jocko,1,nickname
Pep,1,nickname
General,1,nickname
Pea Ridge,1,nickname
Tod,1,nickname
L.G.,1,nickname
Eddie,3,nickname
Hal,2,nickname
Ellie,1,nickname
Jockey,1,nickname
Lefty,4,nickname
Lew,1,nickname
Happy,1,nickname
Fitz or The Deer or Walt,1,nickname
Bernie,1,nickname
Art,2,nickname
Charlie,1,nickname
Skinny,2,nickname
June,1,nickname
Tom,1,nickname
Joe or Unser Choe,1,nickname
Jake,1,nickname
Barnyard or Bernie,1,nickname
Fritz,1,nickname
Al,2,nickname
Ed,3,nickname
Sonny,1,nickname
Schoolboy,1,nickname
Bill or Wild Bill,1,nickname
Shakes,1,nickname
Augie or Lefty,1,nickname
Fred,1,nickname
Chief or Ike,1,nickname
Frank or Yucca,1,nickname
Dutch,2,nickname
Harlem Joe,1,nickname
Red,2,nickname
Ted,2,nickname
Rudy,1,nickname
Wally,1,nickname
Dud,1,nickname
Jim,1,nickname
Waddy,1,nickname
Freddie,1,nickname
Hank,1,nickname
Frank,1,nickname
Slim,1,nickname
Pat,1,nickname
Herb,1,nickname
Ski or Spinach,1,nickname
Lenny,1,nickname
Moose,1,nickname
Ray,1,nickname
Big Ed,1,nickname
Heinie,1,nickname
Joe,1,nickname
Nig,1,nickname
Pick,1,nickname
The Danish Viking,1,nickname
Pinky,1,nickname
Lefty or Nellie,1,nickname
Nellie,1,nickname
Bill,2,nickname
Tink,1,nickname
Gene,1,nickname
Charlie or Chinski,1,nickname
Chuck,1,nickname
Kansas City Kid,1,nickname
Don,1,nickname
Augie,1,nickname
Tommy,1,nickname
Sloppy,1,nickname
Specs,1,nickname
Ode or Ollie,1,nickname
Buddy,1,nickname
Allie,1,nickname
Tony,1,nickname
Jack,1,nickname
Hoge,1,nickname
