full_name,birth_date,death_date,debut_year,final_year,source,birth_year,player_url,first_name,last_name,nickname
Luis García,,,,,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=garcilu04,Luis,García,None
Juan Soto,,,,,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=sotoju01,Juan,Soto,Soto Pacheco
George Abrams,11-09-1899,12-05-1986,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=abramge01,George,Abrams,None
Horace Allen,06-11-1899,07-05-1981,1919,1919,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=allenho01,Horace,Allen,Pug
Buzz Arlett,01-03-1899,05-16-1964,1931,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=arletbu01,Buzz,Arlett,Buzz or The Babe Ruth of the Minor Leagues
Sam Barnes,12-18-1899,02-19-1981,1921,1921,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=barnesa01,Sam,Barnes,Sam
Bob Barrett,01-27-1899,01-18-1982,1923,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=barrebo01,Bob,Barrett,Bob or Jumbo
Bill Bayne,04-18-1899,05-22-1981,1919,1930,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=baynebi01,Bill,Bayne,Beverly
Walter Beall,07-29-1899,01-28-1959,1924,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=beallwa01,Walter,Beall,None
Bob Berman,01-24-1899,08-02-1988,1918,1918,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=bermabo01,Bob,Berman,Bob
Max Bishop,09-05-1899,02-24-1962,1924,1935,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=bishoma01,Max,Bishop,Camera Eye
Del Bissonette,09-06-1899,06-09-1972,1928,1933,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=bissode01,Del,Bissonette,Del
Bill Black,08-12-1899,01-14-1968,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=blackbi01,Bill,Black,Jigger
Sheriff Blake,09-17-1899,10-31-1982,1920,1937,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=blakesh01,Sheriff,Blake,Sheriff
Otis Brannan,03-13-1899,06-06-1967,1928,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=brannot01,Otis,Brannan,None
Frank Brazill,08-11-1899,11-03-1976,1921,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=brazifr01,Frank,Brazill,None
John Chapman,10-15-1899,11-03-1953,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=chapmjo01,John,Chapman,None
Cuckoo Christensen,10-24-1899,12-20-1984,1926,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=chriscu01,Cuckoo,Christensen,Cuckoo or Seacap
Earle Combs,05-14-1899,07-21-1976,1924,1935,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=combsea01,Earle,Combs,The Kentucky Colonel
Jocko Conlan,12-06-1899,04-16-1989,1934,1935,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=conlajo01,Jocko,Conlan,Jocko
Bill Conroy,01-09-1899,01-23-1970,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=conrobi01,Bill,Conroy,Pep
Alvin Crowder,01-11-1899,04-03-1972,1926,1936,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=crowdal01,Alvin,Crowder,General
Pea Ridge Day,08-25-1899,03-21-1934,1924,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=daype01,Pea,Day,Pea Ridge
Tod Dennehey,05-12-1899,08-08-1977,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=denneto01,Tod,Dennehey,Tod
Sam Dodge,12-19-1899,04-05-1966,1921,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=dodgesa01,Sam,Dodge,Sam
Logan Drake,12-26-1899,06-01-1940,1922,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=drakelo01,Logan,Drake,L.G.
Eddie Dyer,10-11-1899,04-20-1964,1922,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=dyered01,Eddie,Dyer,Eddie
Hal Elliott,05-29-1899,04-25-1963,1929,1932,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=ellioha01,Hal,Elliott,Hal
Verdo Elmore,12-10-1899,08-05-1969,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=elmorve01,Verdo,Elmore,Ellie
Reuben Ewing,11-30-1899,10-05-1970,1921,1921,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=ewingre01,Reuben,Ewing,None
Bibb Falk,01-27-1899,06-08-1989,1920,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=falkbi01,Bibb,Falk,Jockey
Jim Faulkner,07-27-1899,06-01-1962,1927,1930,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=faulkji01,Jim,Faulkner,Lefty
Showboat Fisher,01-16-1899,05-15-1994,1923,1932,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=fishesh01,Showboat,Fisher,None
Lew Fonseca,01-21-1899,11-26-1989,1921,1933,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=fonsele01,Lew,Fonseca,Lew
Happy Foreman,07-20-1899,02-13-1953,1924,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=foremha01,Happy,Foreman,Happy
Walt French,07-12-1899,05-13-1984,1923,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=frencwa01,Walt,French,Fitz or The Deer or Walt
Bernie Friberg,08-18-1899,12-08-1958,1919,1933,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=fribebe01,Bernie,Friberg,Bernie
Art Gardiner,12-26-1899,10-21-1954,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=gardiar01,Art,Gardiner,Art
